web-scraper-order;web-scraper-start-url;Name;Name-href;CPU;GPU;Display;Storage;RAM;Weight;Price
1641866624-464;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Strix SCAR 15 G533;https://laptopmedia.com/laptop-specs/asus-rog-strix-scar-15-g533-102/;CPU: AMD Ryzen 7 5800H;GPU: NVIDIA GeForce RTX 3080 (Laptop, 130W);Display: 15.6, Full HD (1920 x 1080), 300 Hz, IPS + FreeSync;Storage: 2000GB SSD;RAM: 16GB DDR4, 3200 MHz;Weight: 2.30 kg (5.1 lbs);$2699.00 #CommissionsEarned
1641870902-1745;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Zephyrus G15 GA503;https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-g15-ga503-103/;CPU: AMD Ryzen 9 5900HS;GPU: NVIDIA GeForce RTX 3060 (Laptop, 95W);Display: 15.6, QHD (2560 x 1440), 165 Hz, IPS + FreeSync;Storage: 1000GB SSD;RAM: 24GB;Weight: 1.90 kg (4.2 lbs);$2054.00 #CommissionsEarned
1641866612-460;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Strix SCAR 15 G533;https://laptopmedia.com/laptop-specs/asus-rog-strix-scar-15-g533-83/;CPU: AMD Ryzen 7 5800H;GPU: NVIDIA GeForce RTX 3080 (Laptop, 130W);Display: 15.6, Full HD (1920 x 1080), 300 Hz, IPS + FreeSync;Storage: 1000GB SSD;RAM: 32GB DDR4, 3200 MHz;Weight: 2.30 kg (5.1 lbs);$2699.00 #CommissionsEarned
1641866571-448;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Strix SCAR 15 G533;https://laptopmedia.com/laptop-specs/asus-rog-strix-scar-15-g533-26/;CPU: AMD Ryzen 7 5800H;GPU: NVIDIA GeForce RTX 3080 (Laptop, 130W);Display: 15.6, Full HD (1920 x 1080), 300 Hz, IPS + FreeSync;Storage: 1000GB SSD;RAM: 16GB DDR4;Weight: 2.30 kg (5.1 lbs);$2699.99 #CommissionsEarned
1641870597-1654;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Zephyrus G15 GA503;https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-g15-ga503-541/;CPU: AMD Ryzen 9 5900HS;GPU: NVIDIA GeForce RTX 3070 (Laptop, 100W);Display: 15.6, QHD (2560 x 1440), 165 Hz, IPS + FreeSync;Storage: 1000GB SSD;RAM: 24GB;Weight: 1.90 kg (4.2 lbs);$2069.99 #CommissionsEarned
1641866144-318;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Strix SCAR 15 G533;https://laptopmedia.com/laptop-specs/asus-rog-strix-scar-15-g533-22/;CPU: AMD Ryzen 7 5800H;GPU: NVIDIA GeForce RTX 3080 (Laptop, 130W);Display: 15.6, Full HD (1920 x 1080), 300 Hz, IPS + FreeSync;Storage: 1000GB SSD;RAM: 32GB DDR4, 3200 MHz;Weight: 2.30 kg (5.1 lbs);$2779.00 #CommissionsEarned
1641866092-302;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Strix SCAR 15 G533;https://laptopmedia.com/laptop-specs/asus-rog-strix-scar-15-g533-21/;CPU: AMD Ryzen 7 5800H;GPU: NVIDIA GeForce RTX 3080 (Laptop, 130W);Display: 15.6, Full HD (1920 x 1080), 300 Hz, IPS + FreeSync;Storage: 2000GB SSD;RAM: 16GB DDR4, 3200 MHz;Weight: 2.30 kg (5.1 lbs);$2799.00 #CommissionsEarned
1641870544-1638;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Zephyrus G15 GA503;https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-g15-ga503-412/;CPU: AMD Ryzen 9 5900HS;GPU: NVIDIA GeForce RTX 3070 (Laptop, 100W);Display: 15.6, QHD (2560 x 1440), 165 Hz, IPS + FreeSync;Storage: 1000GB SSD;RAM: 24GB;Weight: 1.90 kg (4.2 lbs);$2089.89 #CommissionsEarned
1641865779-207;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Strix SCAR 15 G533;https://laptopmedia.com/laptop-specs/asus-rog-strix-scar-15-g533-104/;CPU: AMD Ryzen 7 5800H;GPU: NVIDIA GeForce RTX 3080 (Laptop, 130W);Display: 15.6, Full HD (1920 x 1080), 300 Hz, IPS + FreeSync;Storage: 2000GB SSD;RAM: 32GB DDR4, 3200 MHz;Weight: 2.30 kg (5.1 lbs);$2849.00 #CommissionsEarned
1641870530-1634;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Zephyrus G15 GA503;https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-g15-ga503-705/;CPU: AMD Ryzen 9 5900HS;GPU: NVIDIA GeForce RTX 3070 (Laptop, 100W);Display: 15.6, QHD (2560 x 1440), 165 Hz, IPS + FreeSync;Storage: 1000GB SSD;RAM: 24GB;Weight: 1.90 kg (4.2 lbs);$2089.90 #CommissionsEarned
1641865525-134;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Strix SCAR 15 G533;https://laptopmedia.com/laptop-specs/asus-rog-strix-scar-15-g533-105/;CPU: AMD Ryzen 7 5800H;GPU: NVIDIA GeForce RTX 3080 (Laptop, 130W);Display: 15.6, Full HD (1920 x 1080), 300 Hz, IPS + FreeSync;Storage: 1000GB SSD;RAM: 64GB DDR4, 3200 MHz;Weight: 2.30 kg (5.1 lbs);$2899.00 #CommissionsEarned
1641870426-1602;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Zephyrus G15 GA503;https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-g15-ga503-709/;CPU: AMD Ryzen 9 5900HS;GPU: NVIDIA GeForce RTX 3070 (Laptop, 100W);Display: 15.6, QHD (2560 x 1440), 165 Hz, IPS + FreeSync;Storage: 1000GB SSD;RAM: 24GB;Weight: 1.90 kg (4.2 lbs);$2109.00 #CommissionsEarned
1641865245-57;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Strix SCAR 15 G533;https://laptopmedia.com/laptop-specs/asus-rog-strix-scar-15-g533-23/;CPU: AMD Ryzen 7 5800H;GPU: NVIDIA GeForce RTX 3080 (Laptop, 130W);Display: 15.6, Full HD (1920 x 1080), 300 Hz, IPS + FreeSync;Storage: 2000GB SSD;RAM: 32GB DDR4, 3200 MHz;Weight: 2.30 kg (5.1 lbs);$2949.00 #CommissionsEarned
1641870245-1547;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Zephyrus G15 GA503;https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-g15-ga503-645/;CPU: AMD Ryzen 9 5900HS;GPU: NVIDIA GeForce RTX 3070 (Laptop, 100W);Display: 15.6, QHD (2560 x 1440), 165 Hz, IPS + FreeSync;Storage: 1000GB SSD;RAM: 24GB;Weight: 1.90 kg (4.2 lbs);$2149.00 #CommissionsEarned
1641866558-444;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG STRIX SCAR 17 (G732LWS);https://laptopmedia.com/laptop-specs/asus-rog-strix-scar-17-g732-19/;CPU: Intel Core i7-10875H;GPU: NVIDIA GeForce RTX 2070 SUPER (Laptop);Display: 17.3, Full HD (1920 x 1080), 300 Hz, IPS;Storage: 1000GB SSD;RAM: 32GB DDR4, 2933 MHz;Weight: 2.90 kg (6.4 lbs);$2699.99 #CommissionsEarned
1641866028-282;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG STRIX SCAR 17 (G732LWS-DS76);https://laptopmedia.com/laptop-specs/asus-rog-strix-scar-17-g732lws-ds76/;CPU: Intel Core i7-10875H;GPU: NVIDIA GeForce RTX 2070 SUPER (Laptop);Display: 17.3, Full HD (1920 x 1080), 300 Hz, IPS;Storage: 512GB SSD;RAM: 16GB DDR4, 3200 MHz;Weight: 2.90 kg (6.4 lbs);$2799.99 #CommissionsEarned
1641866325-373;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG STRIX SCAR 17 (G732LXS);https://laptopmedia.com/laptop-specs/asus-rog-strix-scar-17-g732lxs-3/;CPU: Intel Core i9-10980HK;GPU: NVIDIA GeForce RTX 2080 SUPER (Laptop, 150W);Display: 17.3, Full HD (1920 x 1080), 300 Hz, IPS;Storage: 512GB SSD;RAM: 16GB DDR4, 2933 MHz;Weight: 2.90 kg (6.4 lbs);$2749.99 #CommissionsEarned
1641866040-286;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=ASUS&dFR%5Bshow_our%5D%5B0%5D=Laptops%20with%20Display%20Profiles&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=1000&is_v=1;ASUS ROG Zephyrus Duo 15 SE GX551;https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-duo-15-se-gx551-82/;CPU: AMD Ryzen 7 5800H;GPU: NVIDIA GeForce RTX 3060 (Laptop, 130W);Display: 15.6, Full HD (1920 x 1080), 300 Hz, IPS + FreeSync;Storage: 1000GB SSD;RAM: 16GB DDR4, 3200 MHz;Weight: 2.48 kg (5.5 lbs);$2799.99 #CommissionsEarned
