Laptop_Brand,CPU_Brand,CPU_Sub_Series,RAM,Screen_Size,Resolution,Panel_Type,Touchscreen,GPU_Brand,SSD,HDD,Weight,Price
Acer,Intel,Core_i5,8,15.6,1920 x 1080,IPS,0,NVIDIA,256,0,2.3,780.0
Acer,Intel,Core_i5,8,15.6,1920 x 1080,IPS,0,NVIDIA,256,1000,2.3,845.0
Acer,Intel,Core_i5,8,15.6,1920 x 1080,IPS,0,NVIDIA,512,0,2.3,869.0
Acer,Intel,Core_i5,8,15.6,1920 x 1080,IPS,0,NVIDIA,256,0,2.3,849.0
Acer,Intel,Core_i5,8,15.6,1920 x 1080,IPS,0,NVIDIA,512,0,2.3,825.47
Acer,Intel,Core_i5,12,15.6,1920 x 1080,IPS,0,NVIDIA,256,0,2.3,949.99
Acer,Intel,Core_i5,12,15.6,1920 x 1080,IPS,0,NVIDIA,256,1000,2.3,929.0
Acer,Intel,Core_i5,12,15.6,1920 x 1080,IPS,0,NVIDIA,256,1000,2.3,1029.0
Acer,Intel,Core_i5,12,15.6,1920 x 1080,IPS,0,NVIDIA,256,0,2.3,829.99
Acer,Intel,Core_i5,12,15.6,1920 x 1080,IPS,0,NVIDIA,256,1000,2.3,865.0
Acer,Intel,Core_i5,12,15.6,1920 x 1080,IPS,0,NVIDIA,512,0,2.3,899.99
Acer,Intel,Core_i5,12,15.6,1920 x 1080,IPS,0,NVIDIA,1000,0,2.3,1049.0
Acer,Intel,Core_i5,16,15.6,1920 x 1080,IPS,0,NVIDIA,256,0,2.3,939.0
Acer,Intel,Core_i5,16,15.6,1920 x 1080,IPS,0,NVIDIA,256,1000,2.3,964.99
Acer,Intel,Core_i5,16,15.6,1920 x 1080,IPS,0,NVIDIA,512,0,2.3,974.99
Acer,Intel,Core_i5,16,15.6,1920 x 1080,IPS,0,NVIDIA,512,1000,2.3,1009.99
Acer,Intel,Core_i5,16,15.6,1920 x 1080,IPS,0,NVIDIA,1000,0,2.3,1023.99
Acer,Intel,Core_i5,16,15.6,1920 x 1080,IPS,0,NVIDIA,1000,1000,2.3,1059.99
Acer,Intel,Core_i5,16,15.6,1920 x 1080,IPS,0,NVIDIA,256,0,2.3,1249.99
Acer,Intel,Core_i5,16,15.6,1920 x 1080,IPS,0,NVIDIA,256,1000,2.3,1049.0
Acer,Intel,Core_i5,16,15.6,1920 x 1080,IPS,0,NVIDIA,512,0,2.3,1049.0
Acer,Intel,Core_i5,16,15.6,1920 x 1080,IPS,0,NVIDIA,512,1000,2.3,1369.99
Acer,Intel,Core_i5,16,15.6,1920 x 1080,IPS,0,NVIDIA,1000,1000,2.3,1239.95
Acer,Intel,Core_i5,16,15.6,1920 x 1080,IPS,0,NVIDIA,256,0,2.3,899.99
Acer,Intel,Core_i5,16,15.6,1920 x 1080,IPS,0,NVIDIA,256,1000,2.3,895.0
Acer,Intel,Core_i5,16,15.6,1920 x 1080,IPS,0,NVIDIA,512,0,2.3,919.0
Acer,Intel,Core_i5,20,15.6,1920 x 1080,IPS,0,NVIDIA,256,0,2.3,879.99
Acer,Intel,Core_i5,20,15.6,1920 x 1080,IPS,0,NVIDIA,512,0,2.3,959.99
Acer,Intel,Core_i5,24,15.6,1920 x 1080,IPS,0,NVIDIA,512,0,2.3,1050.99
Acer,Intel,Core_i5,24,15.6,1920 x 1080,IPS,0,NVIDIA,512,1000,2.3,1100.99
